素材ID（巨量）,标题,星图任务ID,星图任务名称,抖音号昵称,抖音号,视频播放链接,下单账户名称,消耗,产品名称,数据统计日期
7670531977377202230,"简单一键签到，省去复杂操作领取福利 #网赚 #签到 #真人实拍 #福利多多 #抖音商城",7641104807520763955,新LOGO-抖音商城APP-NG-签到01-鲸鱼,我的智能外挂,97830164197,https://douyin.com/video/7670532019411062056,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,27349.59,,2026-08-16
7665252172604293120,"碎片时间解闷，打开红果畅快刷短剧 #红果短剧 #AI #HWJLYM",7626972396727304228,红果-NG星广ad-短剧综述AI-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7665251894918466879,红果KOC-鲸鱼-站内-拉新-1,25275.56,,2026-08-16
7673399496826798086,"抖音商城每日签到，超多红包享不停 #网赚 #签到 #真人实拍 #福利多多 #抖音商城",7641105717508456489,新LOGO-抖音商城APP-NG-网赚04-鲸鱼,能量补给站,25386692902,https://douyin.com/video/7673399498680454452,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,12672.18,,2026-08-16
7673386799005941770,"深耕每日签到任务，点滴光阴换来多样惊喜好物 #网赚 #签到 #抖音商城 #福利多多 #AI",7657431178504634394,新LOGO-抖音商城APP-NG-AI签到01-鲸鱼,看剧会上瘾,82362097250,https://douyin.com/video/7673386676718161152,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,3158.09,,2026-08-16
7670154435016540169,"长久坚守每日签到，累计打卡时日越多福利等级越高 #抖音商城 #签到 #网赚 #福利多多 #剪辑制作",7657431178504634394,新LOGO-抖音商城APP-NG-AI签到01-鲸鱼,苏苏说说看,97720499428,https://douyin.com/video/7670154522911657250,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,3003.39,,2026-08-16
7579978533608062976,"熬夜冠军：这短剧我能再追十集mh #番茄小说 #爆火短剧 #免费短剧",7576919195879833609,koc番茄小说-NG星广ad-真人短剧综述-鲸鱼,外卖阿彭,42068123484,https://douyin.com/video/7579978441886403892,KOC达人-番茄小说-鲸鱼-站内-1,2781.65,,2026-08-16
7657495406926135311,"礼品库存有限，先签到先得奖励 #网赚 #签到 #真人实拍 #福利多多 #抖音商城",7641105772698173449,新LOGO-抖音商城APP-NG-签到02-鲸鱼,追剧充电站,50669015630,https://douyin.com/video/7657495360855706880,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,2202.46,,2026-08-16
