素材ID（巨量）,标题,星图任务ID,星图任务名称,抖音号昵称,抖音号,视频播放链接,下单账户名称,消耗,产品名称,数据统计日期
7665252172604293120,"碎片时间解闷，打开红果畅快刷短剧 #红果短剧 #AI #HWJLYM",7626972396727304228,红果-NG星广ad-短剧综述AI-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7665251894918466879,红果KOC-鲸鱼-站内-拉新-1,7281.09,,2026-08-11
7665251108878778395,"居家休闲神器，红果海量短剧随便看 #红果短剧 #AI #HWJLYM",7626972396727304228,红果-NG星广ad-短剧综述AI-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7665251159195618602,红果KOC-鲸鱼-站内-拉新-1,2180.04,,2026-08-11
7670910071551918126,"每日福利更新，签到抢先拿到限时权益 #网赚 #签到 #真人实拍 #福利多多 #抖音商城",7641104807520763955,新LOGO-抖音商城APP-NG-签到01-鲸鱼,苏苏有话说,91733539137,https://douyin.com/video/7670910194758520090,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,2079.74,,2026-08-11
