素材ID（巨量）,标题,星图任务ID,星图任务名称,抖音号昵称,抖音号,视频播放链接,下单账户名称,消耗,产品名称,数据统计日期
7660509756013215754,"点击视频下方链接，就能领红包 #抖音商城 #福利多多 #剪辑制作 #签到 #网赚",7657431178504634394,新LOGO-抖音商城APP-NG-AI签到01-鲸鱼,智能效率社,42513895368,https://douyin.com/video/7660509798789696787,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,18560.54,,2026-08-05
7665252172604293120,"碎片时间解闷，打开红果畅快刷短剧 #红果短剧 #AI #HWJLYM",7626972396727304228,红果-NG星广ad-短剧综述AI-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7665251894918466879,红果KOC-鲸鱼-站内-拉新-1,11594.58,,2026-08-05
7665251108878778395,"居家休闲神器，红果海量短剧随便看 #红果短剧 #AI #HWJLYM",7626972396727304228,红果-NG星广ad-短剧综述AI-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7665251159195618602,红果KOC-鲸鱼-站内-拉新-1,3715.92,,2026-08-05
7657495406926135311,"礼品库存有限，先签到先得奖励 #网赚 #签到 #真人实拍 #福利多多 #抖音商城",7641105772698173449,新LOGO-抖音商城APP-NG-签到02-鲸鱼,追剧充电站,50669015630,https://douyin.com/video/7657495360855706880,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,2287.68,,2026-08-05
7579978533608062976,"熬夜冠军：这短剧我能再追十集mh #番茄小说 #爆火短剧 #免费短剧",7576919195879833609,koc番茄小说-NG星广ad-真人短剧综述-鲸鱼,外卖阿彭,42068123484,https://douyin.com/video/7579978441886403892,KOC达人-番茄小说-鲸鱼-站内-1,2032.88,,2026-08-05
7670151900277686322,"坚守每日打卡习惯，累计时长越高惊喜越丰厚 #抖音商城 #福利多多 #网赚 #签到 #剪辑制作",7657431178504634394,新LOGO-抖音商城APP-NG-AI签到01-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7670151947223158054,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,2005.65,,2026-08-05
