素材ID（巨量）,标题,星图任务ID,星图任务名称,抖音号昵称,抖音号,视频播放链接,下单账户名称,消耗,产品名称,数据统计日期
7670531977377202230,简单一键签到，省去复杂操作领取福利 #网赚 #签到 #真人实拍 #福利多多 #抖音商城,7641104807520763955,新LOGO-抖音商城APP-NG-签到01-鲸鱼,我的智能外挂,97830164197,https://douyin.com/video/7670532019411062056,/内部团队/星广五组,21594.48,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,2026-08-17
7670154435016540169,长久坚守每日签到，累计打卡时日越多福利等级越高 #抖音商城 #签到 #网赚 #福利多多 #剪辑制作,7657431178504634394,新LOGO-抖音商城APP-NG-AI签到01-鲸鱼,苏苏说说看,97720499428,https://douyin.com/video/7670154522911657250,/内部团队/星广五组,4407.02,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,2026-08-17
7665252172604293120,碎片时间解闷，打开红果畅快刷短剧 #红果短剧 #AI #HWJLYM,7626972396727304228,红果-NG星广ad-短剧综述AI-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7665251894918466879,/内部团队/星广五组,4023.76,红果KOC-鲸鱼-站内-拉新-1,2026-08-17
7673933091103309874,简单每日签到行动，时光回馈各式各样暖心礼遇 #网赚 #签到 #抖音商城  #福利多多 #AI,7657431178504634394,新LOGO-抖音商城APP-NG-AI签到01-鲸鱼,效率火箭,60057878563,https://douyin.com/video/7673933564391476480,/内部团队/星广五组,3231.95,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,2026-08-17
7577295876219912198,熬夜追完！脑子喊停手却很诚实mh #番茄小说 #爆火短剧 #免费短剧,7571363215192948779,番茄短剧-综述NG-霍尔果斯海洋无限,出片达人小葵,50499034533,https://douyin.com/video/7577295879841926434,/内部团队/星广五组,2663.34,鲸鱼-UG星广-内广星广番茄2.0-主账户,2026-08-17
