素材ID（巨量）,标题,星图任务ID,星图任务名称,抖音号昵称,抖音号,视频播放链接,下单账户名称,消耗,产品名称,数据统计日期
7670531977377202230,"简单一键签到，省去复杂操作领取福利 #网赚 #签到 #真人实拍 #福利多多 #抖音商城",7641104807520763955,新LOGO-抖音商城APP-NG-签到01-鲸鱼,我的智能外挂,97830164197,https://douyin.com/video/7670532019411062056,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,11771.19,,2026-08-15
7665252172604293120,"碎片时间解闷，打开红果畅快刷短剧 #红果短剧 #AI #HWJLYM",7626972396727304228,红果-NG星广ad-短剧综述AI-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7665251894918466879,红果KOC-鲸鱼-站内-拉新-1,9159.98,,2026-08-15
7665251108878778395,"居家休闲神器，红果海量短剧随便看 #红果短剧 #AI #HWJLYM",7626972396727304228,红果-NG星广ad-短剧综述AI-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7665251159195618602,红果KOC-鲸鱼-站内-拉新-1,5725.31,,2026-08-15
7673486375560265728,"去抖音商城签到，解锁每日红包奖励 #网赚 #签到 #真人实拍 #福利多多 #抖音商城",7641104988899213375,新LOGO-抖音商城APP-NG-达人签到01-鲸鱼,短剧后遗症,41528617066,https://douyin.com/video/7673486357259488555,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,3542.64,,2026-08-15
