抖音号昵称,标题,消耗,视频播放链接,数据统计日期
小余爱追剧,"碎片时间解闷，打开红果畅快刷短剧 #红果短剧 #AI #HWJLYM",15270.19,https://douyin.com/video/7665251894918466879,2026-08-04
智能效率社,"点击视频下方链接，就能领红包 #抖音商城 #福利多多 #剪辑制作 #签到 #网赚",12170.55,https://douyin.com/video/7660509798789696787,2026-08-04
寻剧千百遍,"随心点开，欢乐即刻抵达 #红果短剧 #真人 #zcsc #H13",3681.6,https://douyin.com/video/7644849847031319844,2026-08-04
外卖阿彭,"熬夜冠军：这短剧我能再追十集mh #番茄小说 #爆火短剧 #免费短剧",3564.57,https://douyin.com/video/7579978441886403892,2026-08-04
追剧充电站,"礼品库存有限，先签到先得奖励 #网赚 #签到 #真人实拍 #福利多多 #抖音商城",2200.74,https://douyin.com/video/7657495360855706880,2026-08-04
