素材ID（巨量）,标题,星图任务ID,星图任务名称,抖音号昵称,抖音号,视频播放链接,下单账户名称,消耗,产品名称,数据统计日期
7665252172604293120,碎片时间解闷，打开红果畅快刷短剧 #红果短剧 #AI #HWJLYM,7626972396727304228,红果-NG星广ad-短剧综述AI-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7665251894918466879,红果KOC-鲸鱼-站内-拉新-1,6316.6,,2026-08-08
7660509756013215754,点击视频下方链接，就能领红包 #抖音商城 #福利多多 #剪辑制作 #签到 #网赚,7657431178504634394,新LOGO-抖音商城APP-NG-AI签到01-鲸鱼,智能效率社,42513895368,https://douyin.com/video/7660509798789696787,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,3187.92,,2026-08-08
7670527411691995170,用心打卡度过日常，签到天数越多专属惊喜越丰厚 #网赚 #签到 #福利多多 #抖音商城 #剪辑制作,7657431178504634394,新LOGO-抖音商城APP-NG-AI签到01-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7670527375322516771,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,3179.81,,2026-08-08
7670526579542179859,沉淀朝夕签到时光，持之以恒便能收获丰厚馈赠 #网赚 #签到 #福利多多 #抖音商城 #剪辑制作,7657431178504634394,新LOGO-抖音商城APP-NG-AI签到01-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7670526601406270754,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,3020.7,,2026-08-08
