素材ID（巨量）,标题,星图任务ID,星图任务名称,抖音号昵称,抖音号,视频播放链接,下单账户名称,消耗,产品名称,数据统计日期
7665252172604293120,碎片时间解闷，打开红果畅快刷短剧 #红果短剧 #AI #HWJLYM,7626972396727304228,红果-NG星广ad-短剧综述AI-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7665251894918466879,红果KOC-鲸鱼-站内-拉新-1,9303.19,,2026-08-10
7670910071551918126,每日福利更新，签到抢先拿到限时权益 #网赚 #签到 #真人实拍 #福利多多 #抖音商城,7641104807520763955,新LOGO-抖音商城APP-NG-签到01-鲸鱼,苏苏有话说,91733539137,https://douyin.com/video/7670910194758520090,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,5544.04,,2026-08-10
7670534059169726504,红果短剧APP，海量短剧全免费！ #红果短剧 #AI #HWJLDA,7660403527034355763,红果-NG星广ad-短剧综述AI-02-鲸鱼,闪耀猕果社,93208595202,https://douyin.com/video/7670534018856701235,红果KOC-鲸鱼-站内-拉新-1,5187.14,,2026-08-10
7670530535924432939,保持每日打卡习惯，累计时长上涨好礼持续加码 #网赚 #签到 #福利多多 #抖音商城 #剪辑制作,7657431178504634394,新LOGO-抖音商城APP-NG-AI签到01-鲸鱼,孜然哔哔机,55428852738,https://douyin.com/video/7670530542692994339,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,3021.72,,2026-08-10
7670506457710411803,无需辗转等候，红果短剧篇章新意频出 #HWJYXT #红果短剧 #潜力,7661894329392349226,红果-NG星广ad-真人综述-实拍-04-鲸鱼,外卖阿彭,42068123484,https://douyin.com/video/7670506541866437922,红果KOC-鲸鱼-站内-拉新-1,2234.21,,2026-08-10
