素材ID（巨量）,标题,星图任务ID,星图任务名称,抖音号昵称,抖音号,视频播放链接,下单账户名称,消耗,产品名称,数据统计日期
7665252172604293120,碎片时间解闷，打开红果畅快刷短剧 #红果短剧 #AI #HWJLYM,7626972396727304228,红果-NG星广ad-短剧综述AI-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7665251894918466879,红果KOC-鲸鱼-站内-拉新-1,12153.25,,2026-08-09
7670534059169726504,红果短剧APP，海量短剧全免费！ #红果短剧 #AI #HWJLDA,7660403527034355763,红果-NG星广ad-短剧综述AI-02-鲸鱼,闪耀猕果社,93208595202,https://douyin.com/video/7670534018856701235,红果KOC-鲸鱼-站内-拉新-1,5356.6,,2026-08-09
7670162447438086207,收纳每一日签到光阴，相守越久福利持续加码 #抖音商城 #福利多多 #网赚 #签到 #剪辑制作,7657431178504634394,新LOGO-抖音商城APP-NG-AI签到01-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7670162481460809011,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,3523.2,,2026-08-09
7670506457710411803,无需辗转等候，红果短剧篇章新意频出 #HWJYXT #红果短剧 #潜力,7661894329392349226,红果-NG星广ad-真人综述-实拍-04-鲸鱼,外卖阿彭,42068123484,https://douyin.com/video/7670506541866437922,红果KOC-鲸鱼-站内-拉新-1,3152.49,,2026-08-09
7670526579542179859,沉淀朝夕签到时光，持之以恒便能收获丰厚馈赠 #网赚 #签到 #福利多多 #抖音商城 #剪辑制作,7657431178504634394,新LOGO-抖音商城APP-NG-AI签到01-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7670526601406270754,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,2264.48,,2026-08-09
